Comment,Designator,Footprint,LCSC
4.7u,C11,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C106859
27pF,"C17,C18",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C107002
MMZ1608Y102B,"FB1,FB2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C114771
LP2985-3.3,U1,SOT-23-5,C129375
USB_B_Micro,J4,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,C132562
12.1k,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C144800
1u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
0,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17168
Conn_02x08_Odd_Even,J6,PinHeader_2x08_P1.27mm_Vertical,C17282974
10k,"R10,R2,R6,R7,R8,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
2.15k,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25878
FT2232HL,U2,LQFP-64_10x10mm_P0.5mm,C27882
PRTR5V0U2X,D1,SOT-143,C2827688
5.11k,"R3,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C310235
0.1u,"C1,C12,C14,C16,C2,C3,C4,C5,C6,C7,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C5142567
Conn_02x05_Odd_Even,J1,IDC-Header_2x05_P2.54mm_Vertical,C5665
AT93C46DN-SH-T,U3,SOIC-8_3.9x4.9mm_P1.27mm,C6499
3.3u,"C13,C15,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C695126
12.00 MHz,Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm_HandSoldering,C9002
